s_code,s_city,e_code,e_city,coupon,new,vacation,SW,HI,s_income,e_income,s_pop,e_pop,slot,gate,distance,PAX,fare
*,Dallas/Fort Worth   TX,*,Amarillo            TX,1,3,No,Yes,5291.99,28637.00,21112.00,3036732,205711,Free,Free,312,7864,64.11
*,Atlanta             GA,*,Baltimore/Wash Intl MD,1.06,3,No,No,5419.16,26993.00,29838.00,3532657,7145897,Free,Free,576,8820,174.47
*,Boston              MA,*,Baltimore/Wash Intl MD,1.06,3,No,No,9185.28,30124.00,29838.00,5787293,7145897,Free,Free,364,6452,207.76
ORD,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35,29260.00,29838.00,7830332,7145897,Controlled,Free,612,25144,85.47
MDW,Chicago             IL,*,Baltimore/Wash Intl MD,1.06,3,No,Yes,2657.35,29260.00,29838.00,7830332,7145897,Free,Free,612,25144,85.47
*,Cleveland           OH,*,Baltimore/Wash Intl MD,1.01,3,No,Yes,3408.11,26046.00,29838.00,2230955,7145897,Free,Free,309,13386,56.76
*,Dallas/Fort Worth   TX,*,Baltimore/Wash Intl MD,1.28,3,No,No,6754.48,28637.00,29838.00,3036732,7145897,Free,Free,1220,4625,228.00
*,Fort Lauderdale     FL,*,Baltimore/Wash Intl MD,1.15,3,Yes,Yes,5584,26752.00,29838.00,1440377,7145897,Free,Free,921,5512,116.54
*,Houston             TX,*,Baltimore/Wash Intl MD,1.33,3,No,Yes,4662.44,27211.00,29838.00,3770125,7145897,Free,Free,1249,7811,172.63
*,Kansas City         MO,*,Baltimore/Wash Intl MD,1.6,2,No,Yes,2617,25450.00,29838.00,1694803,7145897,Free,Free,964,4657,114.76
*,Las Vegas           NV,*,Baltimore/Wash Intl MD,1.57,3,Yes,Yes,1772.59,24575.00,29838.00,1197234,7145897,Free,Free,2104,4489,158.20
*,Los Angeles         CA,*,Baltimore/Wash Intl MD,1.5,1,No,Yes,3932.29,24706.00,29838.00,9056076,7145897,Free,Free,2329,7349,228.99
*,Nashville           TN,*,Baltimore/Wash Intl MD,1.12,3,No,Yes,4471.62,25995.00,29838.00,1115048,7145897,Free,Free,587,5654,79.17
*,New Orleans         LA,*,Baltimore/Wash Intl MD,1.29,3,No,Yes,4356.12,22038.00,29838.00,1308499,7145897,Free,Free,992,3525,132.05
JFK,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Controlled,Free,181,7171,117.23
LGA,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Controlled,Free,181,7171,117.23
EWR,New York/Newark     NY,*,Baltimore/Wash Intl MD,1,3,No,No,2626.9,32991.00,29838.00,8621121,7145897,Free,Constrained,181,7171,117.23
*,Orlando             FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5706.76,22360.00,29838.00,1421287,7145897,Free,Free,788,11013,106.11
*,Phoenix             AZ,*,Baltimore/Wash Intl MD,1.86,3,No,Yes,1230.48,23025.00,29838.00,2753373,7145897,Free,Free,2001,4408,181.16
*,Salt Lake City      UT,*,Baltimore/Wash Intl MD,1.93,3,No,Yes,2000.67,21121.00,29838.00,1228816,7145897,Free,Free,1866,2767,157.50
*,San Diego           CA,*,Baltimore/Wash Intl MD,1.87,3,No,Yes,1572.93,23903.00,29838.00,2673620,7145897,Free,Free,2290,3170,200.20
*,San Francisco       CA,*,Baltimore/Wash Intl MD,1.52,3,No,No,2967.59,38813.00,29838.00,1653017,7145897,Free,Free,2454,6417,246.85
*,St Louis            MO,*,Baltimore/Wash Intl MD,1.14,3,No,Yes,4191.24,25824.00,29838.00,2549844,7145897,Free,Free,729,10264,99.70
*,Tampa               FL,*,Baltimore/Wash Intl MD,1.13,3,Yes,Yes,5201.34,23654.00,29838.00,2195215,7145897,Free,Free,846,7082,106.77
ORD,Chicago             IL,*,Birmingham          AL,1.16,3,No,Yes,3627.46,29260.00,23858.00,7830332,895414,Controlled,Free,576,4138,113.50
MDW,Chicago             IL,*,Birmingham          AL,1.16,3,No,Yes,3627.46,29260.00,23858.00,7830332,895414,Free,Free,576,4138,113.50
*,Seattle/Tacoma      WA,*,Boise               ID,1.07,3,No,Yes,5255.24,30916.00,23901.00,2230831,372606,Free,Free,403,5995,69.12
*,Atlanta             GA,*,Boston              MA,1.25,3,No,No,5736.34,26993.00,30124.00,3532657,5787293,Free,Free,939,14005,210.00
JFK,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.09,32991.00,23184.00,8621121,1173217,Controlled,Free,291,12432,134.30
LGA,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.09,32991.00,23184.00,8621121,1173217,Controlled,Free,291,12432,134.30
EWR,New York/Newark     NY,*,Buffalo             NY,1.01,3,No,No,4040.09,32991.00,23184.00,8621121,1173217,Free,Constrained,291,12432,134.30
JFK,New York/Newark     NY,*,Charleston          SC,1.34,0,No,No,2587.89,32991.00,18851.00,8621121,254153,Controlled,Free,637,6003,118.95
LGA,New York/Newark     NY,*,Charleston          SC,1.34,3,No,No,2587.89,32991.00,18851.00,8621121,254153,Controlled,Free,637,6003,118.95
EWR,New York/Newark     NY,*,Charleston          SC,1.34,1,No,No,2587.89,32991.00,18851.00,8621121,254153,Free,Constrained,637,6003,118.95
*,Atlanta             GA,*,Charlotte           NC,1.01,3,No,No,4435.92,26993.00,25237.00,3532657,1318892,Free,Constrained,227,7335,97.96
*,Boston              MA,*,Charlotte           NC,1.25,3,No,No,8589.17,30124.00,25237.00,5787293,1318892,Free,Constrained,722,3263,237.80
ORD,Chicago             IL,*,Charlotte           NC,1.16,3,No,No,4523.31,29260.00,25237.00,7830332,1318892,Controlled,Constrained,589,5153,234.15
MDW,Chicago             IL,*,Charlotte           NC,1.16,3,No,No,4523.31,29260.00,25237.00,7830332,1318892,Free,Constrained,589,5153,234.15
*,Dallas/Fort Worth   TX,*,Charlotte           NC,1.14,3,No,No,4439.86,28637.00,25237.00,3036732,1318892,Free,Constrained,940,4493,203.17
JFK,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.03,32991.00,25237.00,8621121,1318892,Controlled,Constrained,539,9305,250.73
LGA,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.03,32991.00,25237.00,8621121,1318892,Controlled,Constrained,539,9305,250.73
EWR,New York/Newark     NY,*,Charlotte           NC,1.12,3,No,No,8714.03,32991.00,25237.00,8621121,1318892,Free,Constrained,539,9305,250.73
*,Atlanta             GA,ORD,Chicago             IL,1.04,3,No,No,2712.37,26993.00,29260.00,3532657,7830332,Controlled,Free,595,30877,106.60
*,Atlanta             GA,MDW,Chicago             IL,1.04,3,No,No,2712.37,26993.00,29260.00,3532657,7830332,Free,Free,595,30877,106.60
*,Austin              TX,ORD,Chicago             IL,1.25,3,No,Yes,4417.16,23665.00,29260.00,1038660,7830332,Controlled,Free,974,4980,136.27
*,Austin              TX,MDW,Chicago             IL,1.25,3,No,Yes,4417.16,23665.00,29260.00,1038660,7830332,Free,Free,974,4980,136.27
*,Boston              MA,ORD,Chicago             IL,1.15,1,No,No,3977.23,30124.00,29260.00,5787293,7830332,Controlled,Free,854,20718,230.87
*,Boston              MA,MDW,Chicago             IL,1.15,3,No,No,3977.23,30124.00,29260.00,5787293,7830332,Free,Free,854,20718,230.87
*,Cincinnati          OH,ORD,Chicago             IL,1.01,3,No,No,3910.81,25059.00,29260.00,1595139,7830332,Controlled,Constrained,254,7069,180.56
*,Cincinnati          OH,MDW,Chicago             IL,1.01,0,No,No,3910.81,25059.00,29260.00,1595139,7830332,Free,Constrained,254,7069,180.56
*,Atlanta             GA,*,Cincinnati          OH,1.16,3,No,No,9350.13,26993.00,25059.00,3532657,1595139,Free,Constrained,371,3892,215.83
*,Atlanta             GA,*,Cleveland           OH,1.12,3,No,No,4478.87,26993.00,26046.00,3532657,2915745,Free,Free,561,4821,197.10
ORD,Chicago             IL,*,Cleveland           OH,1.01,3,No,Yes,2800.91,29260.00,26046.00,7830332,2915745,Controlled,Free,316,24405,69.10
MDW,Chicago             IL,*,Cleveland           OH,1.01,1,No,Yes,2800.91,29260.00,26046.00,7830332,2915745,Free,Free,316,24405,69.10
*,Dallas/Fort Worth   TX,*,Colorado Springs    CO,1.06,3,No,No,5110.54,28637.00,22263.00,3036732,472254,Free,Free,592,6098,91.83
*,Houston             TX,*,Colorado Springs    CO,1.19,3,No,No,4037.09,27211.00,22263.00,3770125,472254,Free,Free,817,4281,111.66
*,Las Vegas           NV,*,Colorado Springs    CO,1.16,3,Yes,No,3465.14,24575.00,22263.00,1197234,472254,Free,Free,602,8810,57.62
*,Los Angeles         CA,*,Colorado Springs    CO,1.36,3,No,No,4384.63,24706.00,22263.00,9056076,472254,Free,Free,833,5762,104.72
JFK,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.04,32991.00,22263.00,8621121,472254,Controlled,Free,1636,5185,154.74
LGA,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.04,32991.00,22263.00,8621121,472254,Controlled,Free,1636,5185,154.74
EWR,New York/Newark     NY,*,Colorado Springs    CO,1.36,3,No,No,2421.04,32991.00,22263.00,8621121,472254,Free,Constrained,1636,5185,154.74
*,Phoenix             AZ,*,Colorado Springs    CO,1.09,3,No,No,4351.31,23025.00,22263.00,2753373,472254,Free,Free,550,7599,77.98
IAD,Washington          DC,*,Colorado Springs    CO,1.68,3,No,No,2661.53,31981.00,22263.00,4549784,472254,Free,Free,1476,4945,157.20
DCA,Washington          DC,*,Colorado Springs    CO,1.68,3,No,No,2661.53,31981.00,22263.00,4549784,472254,Controlled,Free,1476,4945,157.20
*,Atlanta             GA,*,Columbus            OH,1.13,3,No,No,5356.51,26993.00,24502.00,3532657,1442203,Free,Free,445,6075,113.20
*,Boston              MA,*,Columbus            OH,1.22,3,No,No,3789.64,30124.00,24502.00,5787293,1442203,Free,Free,633,4758,143.59
ORD,Chicago             IL,*,Columbus            OH,1.01,3,No,Yes,2668.2,29260.00,24502.00,7830332,1442203,Controlled,Free,286,14516,75.07
MDW,Chicago             IL,*,Columbus            OH,1.01,0,No,Yes,2668.2,29260.00,24502.00,7830332,1442203,Free,Free,286,14516,75.07
*,Albuquerque         NM,*,Dallas/Fort Worth   TX,1.02,3,No,Yes,5222.3,22089.00,28637.00,668159,3036732,Free,Free,573,10941,84.46
*,Atlanta             GA,*,Dallas/Fort Worth   TX,1.05,3,No,No,4624.9,26993.00,28637.00,3532657,3036732,Free,Free,734,23075,113.99
*,Austin              TX,*,Dallas/Fort Worth   TX,1,3,No,Yes,5502.33,23665.00,28637.00,1038660,3036732,Free,Free,184,18843,67.17
*,Boston              MA,*,Dallas/Fort Worth   TX,1.19,3,No,No,5605.06,30124.00,28637.00,5787293,3036732,Free,Free,1559,8756,320.37
ORD,Chicago             IL,*,Dallas/Fort Worth   TX,1.14,3,No,No,6205.97,29260.00,28637.00,7830332,3036732,Controlled,Free,805,20264,244.50
MDW,Chicago             IL,*,Dallas/Fort Worth   TX,1.14,3,No,No,6205.97,29260.00,28637.00,7830332,3036732,Free,Free,805,20264,244.50
*,Corpus Christi      TX,*,Dallas/Fort Worth   TX,1.02,3,No,Yes,4386.55,18933.00,28637.00,382155,3036732,Free,Free,354,5391,78.62
*,Atlanta             GA,*,Denver              CO,1.23,3,No,No,4202.66,26993.00,29055.00,3532657,1862106,Free,Free,1200,7621,210.90
*,Boston              MA,*,Denver              CO,1.35,3,No,No,6140.91,30124.00,29055.00,5787293,1862106,Free,Free,1755,5820,311.46
ORD,Chicago             IL,*,Denver              CO,1.08,3,No,No,5792.28,29260.00,29055.00,7830332,1862106,Controlled,Free,902,16263,174.06
MDW,Chicago             IL,*,Denver              CO,1.08,3,No,No,5792.28,29260.00,29055.00,7830332,1862106,Free,Free,902,16263,174.06
*,Dallas/Fort Worth   TX,*,Denver              CO,1.06,3,No,No,4157.61,28637.00,29055.00,3036732,1862106,Free,Free,638,11298,155.81
*,Atlanta             GA,*,Detroit             MI,1.05,3,No,No,4312.95,26993.00,26506.00,3532657,4459144,Free,Constrained,600,12752,106.56
*,Boston              MA,*,Detroit             MI,1.06,3,No,No,8162.77,30124.00,26506.00,5787293,4459144,Free,Constrained,616,10358,110.42
ORD,Chicago             IL,*,Detroit             MI,1,3,No,Yes,3059.78,29260.00,26506.00,7830332,4459144,Controlled,Constrained,237,34113,74.28
MDW,Chicago             IL,*,Detroit             MI,1,3,No,Yes,3059.78,29260.00,26506.00,7830332,4459144,Free,Constrained,237,34113,74.28
*,Dallas/Fort Worth   TX,*,Detroit             MI,1.22,3,No,No,4033.32,28637.00,26506.00,3036732,4459144,Free,Constrained,1001,6401,245.28
*,Denver              CO,*,Detroit             MI,1.21,3,No,No,4213.71,29055.00,26506.00,1862106,4459144,Free,Constrained,1139,3851,256.48
*,Dallas/Fort Worth   TX,*,El Paso             TX,1.02,3,No,Yes,5063.07,28637.00,14600.00,3036732,677757,Free,Free,548,10989,84.23
*,Atlanta             GA,*,Fort Lauderdale     FL,1.02,3,Yes,No,7032.27,26993.00,26752.00,3532657,1440377,Free,Free,578,11425,105.10
*,Boston              MA,*,Fort Lauderdale     FL,1.27,3,Yes,No,2682.54,30124.00,26752.00,5787293,1440377,Free,Free,1229,10483,121.09
ORD,Chicago             IL,*,Fort Lauderdale     FL,1.15,3,Yes,Yes,2482.76,29260.00,26752.00,7830332,1440377,Controlled,Free,1168,10117,153.95
MDW,Chicago             IL,*,Fort Lauderdale     FL,1.15,3,Yes,Yes,2482.76,29260.00,26752.00,7830332,1440377,Free,Free,1168,10117,153.95
*,Dallas/Fort Worth   TX,*,Fort Lauderdale     FL,1.16,3,Yes,No,4677.03,28637.00,26752.00,3036732,1440377,Free,Free,1118,3402,207.84
*,Detroit             MI,*,Fort Lauderdale     FL,1.17,3,Yes,No,4681.68,26506.00,26752.00,4459144,1440377,Free,Constrained,1128,6103,113.39
*,Boston              MA,*,Fort Meyers         FL,1.47,3,Yes,No,2565.52,30124.00,26752.00,5787293,379566,Free,Free,1245,6390,126.62
ORD,Chicago             IL,*,Fort Meyers         FL,1.2,3,Yes,No,3247.31,29260.00,26752.00,7830332,379566,Controlled,Free,1108,7196,136.68
MDW,Chicago             IL,*,Fort Meyers         FL,1.2,3,Yes,No,3247.31,29260.00,26752.00,7830332,379566,Free,Free,1108,7196,136.68
*,Detroit             MI,*,Fort Meyers         FL,1.13,3,Yes,No,4516.9,26506.00,26752.00,4459144,379566,Free,Constrained,1088,7049,108.15
JFK,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48,32991.00,24348.00,8621121,111745,Controlled,Free,457,7574,180.85
LGA,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48,32991.00,24348.00,8621121,111745,Controlled,Free,457,7574,180.85
EWR,New York/Newark     NY,*,Greensboro/High Pt  NC,1.07,3,No,No,4840.48,32991.00,24348.00,8621121,111745,Free,Constrained,457,7574,180.85
*,Atlanta             GA,*,Hartford            CT,1.34,3,No,No,5137.41,26993.00,30268.00,3532657,1106780,Free,Free,854,5806,175.81
ORD,Chicago             IL,*,Hartford            CT,1.13,3,No,No,4146.13,29260.00,30268.00,7830332,1106780,Controlled,Free,779,6614,240.88
MDW,Chicago             IL,*,Hartford            CT,1.13,3,No,No,4146.13,29260.00,30268.00,7830332,1106780,Free,Free,779,6614,240.88
*,Las Vegas           NV,*,Honolulu (Intl)     HI,1.56,3,Yes,No,3135.14,24575.00,26681.00,1197234,873131,Free,Free,2764,6462,183.19
*,Los Angeles         CA,*,Honolulu (Intl)     HI,1.03,3,Yes,No,1706.89,24706.00,26681.00,9056076,873131,Free,Free,2555,32824,167.16
*,San Francisco       CA,*,Honolulu (Intl)     HI,1.04,3,Yes,No,2447.14,38813.00,26681.00,1653017,873131,Free,Free,2401,19055,177.09
*,Seattle/Tacoma      WA,*,Honolulu (Intl)     HI,1.29,3,Yes,No,3333.11,30916.00,26681.00,2230831,873131,Free,Free,2679,6464,221.89
*,Atlanta             GA,*,Houston             TX,1.19,3,No,No,4468.8,26993.00,27211.00,3532657,3770125,Free,Free,701,7201,233.16
*,Austin              TX,*,Houston             TX,1,3,No,Yes,6269.39,23665.00,27211.00,1038660,3770125,Free,Free,138,9874,67.10
*,Boston              MA,*,Houston             TX,1.41,3,No,No,5497.26,30124.00,27211.00,5787293,3770125,Free,Free,1605,4272,349.97
ORD,Chicago             IL,*,Houston             TX,1.09,3,No,Yes,2572.42,29260.00,27211.00,7830332,3770125,Controlled,Free,939,16868,139.56
MDW,Chicago             IL,*,Houston             TX,1.09,3,No,Yes,2572.42,29260.00,27211.00,7830332,3770125,Free,Free,939,16868,139.56
*,Cleveland           OH,*,Houston             TX,1.31,3,No,Yes,6172.95,26046.00,27211.00,2230955,3770125,Free,Free,1117,4057,191.63
*,Corpus Christi      TX,*,Houston             TX,1,3,No,Yes,5826.14,18933.00,27211.00,382155,3770125,Free,Free,184,5312,65.31
*,Dallas/Fort Worth   TX,*,Houston             TX,1,3,No,Yes,4992.63,28637.00,27211.00,3036732,3770125,Free,Free,234,54429,67.78
*,Denver              CO,*,Houston             TX,1.14,3,No,No,4103.1,29055.00,27211.00,1862106,3770125,Free,Free,866,5860,204.68
*,Detroit             MI,*,Houston             TX,1.19,3,No,Yes,3649.8,26506.00,27211.00,4459144,3770125,Free,Constrained,1102,4660,177.22
*,Atlanta             GA,*,Indianapolis        IN,1.12,3,No,No,5180.13,26993.00,25475.00,3532657,1489247,Free,Free,430,5378,109.78
ORD,Chicago             IL,*,Indianapolis        IN,1,3,No,Yes,3702.18,29260.00,25475.00,7830332,1489247,Controlled,Free,167,9355,62.63
MDW,Chicago             IL,*,Indianapolis        IN,1,0,No,Yes,3702.18,29260.00,25475.00,7830332,1489247,Free,Free,167,9355,62.63
*,Detroit             MI,*,Indianapolis        IN,1.11,3,No,Yes,8437.67,26506.00,25475.00,4459144,1489247,Free,Constrained,241,4790,169.58
*,Fort Meyers         FL,*,Indianapolis        IN,1.21,3,Yes,No,6134.26,24510.00,25475.00,379566,1489247,Free,Free,943,3624,105.73
*,Las Vegas           NV,*,Indianapolis        IN,1.34,3,Yes,No,2883.65,24575.00,25475.00,1197234,1489247,Free,Free,1588,7406,114.13
*,Los Angeles         CA,*,Indianapolis        IN,1.52,3,No,No,1787.71,24706.00,25475.00,9056076,1489247,Free,Free,1815,5869,153.50
JFK,New York/Newark     NY,*,Indianapolis        IN,1.27,0,No,No,3543.34,32991.00,25475.00,8621121,1489247,Controlled,Free,657,7109,195.64
LGA,New York/Newark     NY,*,Indianapolis        IN,1.27,3,No,No,3543.34,32991.00,25475.00,8621121,1489247,Controlled,Free,657,7109,195.64
EWR,New York/Newark     NY,*,Indianapolis        IN,1.27,3,No,No,3543.34,32991.00,25475.00,8621121,1489247,Free,Constrained,657,7109,195.64
*,Orlando             FL,*,Indianapolis        IN,1.24,3,Yes,Yes,3009.48,22360.00,25475.00,1421287,1489247,Free,Free,828,7675,97.36
*,Phoenix             AZ,*,Indianapolis        IN,1.27,3,No,Yes,3446.75,23025.00,25475.00,2753373,1489247,Free,Free,1491,5100,138.08
*,San Francisco       CA,*,Indianapolis        IN,1.71,3,No,No,1892.37,38813.00,25475.00,1653017,1489247,Free,Free,1941,3814,157.45
*,Tampa               FL,*,Indianapolis        IN,1.28,3,Yes,Yes,3076.53,23654.00,25475.00,2195215,1489247,Free,Free,844,5160,99.43
*,Atlanta             GA,*,Jacksonville        FL,1,3,Yes,No,5963.75,26993.00,23614.00,3532657,1008768,Free,Free,280,8571,87.59
ORD,Chicago             IL,*,Jacksonville        FL,1.45,3,Yes,No,3198.81,29260.00,23614.00,7830332,1008768,Controlled,Free,865,3789,158.63
MDW,Chicago             IL,*,Jacksonville        FL,1.45,3,Yes,No,3198.81,29260.00,23614.00,7830332,1008768,Free,Free,865,3789,158.63
*,Fort Lauderdale     FL,*,Jacksonville        FL,1.01,3,Yes,No,3305.7,26752.00,23614.00,1440377,1008768,Free,Free,303,1859,114.93
*,Atlanta             GA,*,Kansas City         MO,1.11,0,No,No,6722.01,26993.00,25450.00,3532657,1694803,Free,Free,685,6426,116.18
ORD,Chicago             IL,*,Kansas City         MO,1.04,3,No,Yes,3296.05,29260.00,25450.00,7830332,1694803,Controlled,Free,407,20529,75.71
MDW,Chicago             IL,*,Kansas City         MO,1.04,0,No,Yes,3296.05,29260.00,25450.00,7830332,1694803,Free,Free,407,20529,75.71
*,Dallas/Fort Worth   TX,*,Kansas City         MO,1.2,3,No,No,7520.09,28637.00,25450.00,3036732,1694803,Free,Free,458,9381,116.57
*,Denver              CO,*,Kansas City         MO,1.02,3,No,No,5505.79,29055.00,25450.00,1862106,1694803,Free,Free,541,7679,110.25
*,Detroit             MI,*,Kansas City         MO,1.31,3,No,Yes,5569.75,26506.00,25450.00,4459144,1694803,Free,Constrained,639,4987,123.27
*,Houston             TX,*,Kansas City         MO,1.08,2,No,Yes,4343.85,27211.00,25450.00,3770125,1694803,Free,Free,652,4649,127.78
*,Las Vegas           NV,*,Kansas City         MO,1.39,0,Yes,Yes,2844.24,24575.00,25450.00,1197234,1694803,Free,Free,1140,8309,78.24
*,Los Angeles         CA,*,Kansas City         MO,1.31,2,No,Yes,1843.52,24706.00,25450.00,9056076,1694803,Free,Free,1365,7959,116.00
*,Albuquerque         NM,*,Las Vegas           NV,1.08,0,Yes,Yes,7641.73,22089.00,24575.00,668159,1197234,Free,Free,479,7170,72.43
*,Atlanta             GA,*,Las Vegas           NV,1.44,3,Yes,No,4112.44,26993.00,24575.00,3532657,1197234,Free,Free,1744,7881,143.62
*,Austin              TX,*,Las Vegas           NV,1.35,3,Yes,Yes,3757.25,23665.00,24575.00,1038660,1197234,Free,Free,1087,5738,80.31
*,Boston              MA,*,Las Vegas           NV,1.49,3,Yes,No,1833.95,30124.00,24575.00,5787293,1197234,Free,Free,2372,10235,133.35
*,Burbank             CA,*,Las Vegas           NV,1,3,Yes,Yes,9592.99,24706.00,24575.00,9056076,1197234,Free,Free,226,16845,52.92
ORD,Chicago             IL,*,Las Vegas           NV,1.15,3,Yes,Yes,2044.21,29260.00,24575.00,7830332,1197234,Controlled,Free,1519,23739,123.74
MDW,Chicago             IL,*,Las Vegas           NV,1.15,3,Yes,Yes,2044.21,29260.00,24575.00,7830332,1197234,Free,Free,1519,23739,123.74
*,Cleveland           OH,*,Las Vegas           NV,1.36,0,Yes,Yes,4070.45,26046.00,24575.00,2230955,1197234,Free,Free,1831,4543,159.12
*,Columbus            OH,*,Las Vegas           NV,1.42,3,Yes,No,4956.58,24502.00,24575.00,125722,1197234,Free,Free,1769,7231,115.84
*,Dallas/Fort Worth   TX,*,Las Vegas           NV,1.16,3,Yes,No,4446.51,28637.00,24575.00,3036732,1197234,Free,Free,1052,6986,164.88
*,Denver              CO,*,Las Vegas           NV,1.13,3,Yes,No,3760.1,29055.00,24575.00,1862106,1197234,Free,Free,618,10206,89.47
*,Detroit             MI,*,Las Vegas           NV,1.19,3,Yes,No,5307.27,26506.00,24575.00,4459144,1197234,Free,Constrained,1756,6675,163.78
*,Houston             TX,*,Las Vegas           NV,1.18,3,Yes,Yes,3690.13,27211.00,24575.00,3770125,1197234,Free,Free,1222,9632,112.99
*,Los Angeles         CA,*,Las Vegas           NV,1,0,Yes,Yes,2522.01,24706.00,24575.00,9056076,1197234,Free,Free,238,51358,55.57
*,Los Angeles         CA,*,Las Vegas           NV,1,0,Yes,Yes,2522.01,24706.00,24575.00,9056076,1197234,Free,Free,238,51358,55.57
