day,number_of_vehicles
01 Nov 2003,103536
02 Nov 2003,92051
03 Nov 2003,100795
04 Nov 2003,102352
05 Nov 2003,106569
06 Nov 2003,106284
07 Nov 2003,113111
08 Nov 2003,96806
09 Nov 2003,86811
10 Nov 2003,99194
11 Nov 2003,102253
12 Nov 2003,105707
13 Nov 2003,107011
14 Nov 2003,113588
15 Nov 2003,97066
16 Nov 2003,83848
17 Nov 2003,99770
18 Nov 2003,102281
19 Nov 2003,104951
20 Nov 2003,108397
21 Nov 2003,115567
22 Nov 2003,99758
23 Nov 2003,88487
24 Nov 2003,102773
25 Nov 2003,107040
26 Nov 2003,108092
27 Nov 2003,109490
28 Nov 2003,115048
29 Nov 2003,101161
30 Nov 2003,90733
01 Dec 2003,101716
02 Dec 2003,102497
03 Dec 2003,108085
04 Dec 2003,108811
05 Dec 2003,113805
06 Dec 2003,94656
07 Dec 2003,85336
08 Dec 2003,104140
09 Dec 2003,105500
10 Dec 2003,106046
11 Dec 2003,111200
12 Dec 2003,114801
13 Dec 2003,97659
14 Dec 2003,85532
15 Dec 2003,102585
16 Dec 2003,103496
17 Dec 2003,110116
18 Dec 2003,110804
19 Dec 2003,115991
20 Dec 2003,98807
21 Dec 2003,78903
22 Dec 2003,95771
23 Dec 2003,94262
24 Dec 2003,85453
25 Dec 2003,79812
26 Dec 2003,79697
27 Dec 2003,88279
28 Dec 2003,73671
29 Dec 2003,85261
30 Dec 2003,84747
31 Dec 2003,69097
01 Jan 2004,53098
02 Jan 2004,62895
03 Jan 2004,86079
04 Jan 2004,70426
05 Jan 2004,85305
06 Jan 2004,88929
07 Jan 2004,93399
08 Jan 2004,94986
09 Jan 2004,103527
10 Jan 2004,89082
11 Jan 2004,74378
12 Jan 2004,93447
13 Jan 2004,96083
14 Jan 2004,101949
15 Jan 2004,101859
16 Jan 2004,107845
17 Jan 2004,88817
18 Jan 2004,75774
19 Jan 2004,97604
20 Jan 2004,94226
21 Jan 2004,102939
22 Jan 2004,105527
23 Jan 2004,113448
24 Jan 2004,95411
25 Jan 2004,76837
26 Jan 2004,91946
27 Jan 2004,85353
28 Jan 2004,91359
29 Jan 2004,86544
30 Jan 2004,105640
31 Jan 2004,92171
01 Feb 2004,80610
02 Feb 2004,94744
03 Feb 2004,96471
04 Feb 2004,100312
05 Feb 2004,101446
06 Feb 2004,110229
07 Feb 2004,93996
08 Feb 2004,71021
09 Feb 2004,93971
10 Feb 2004,97976
11 Feb 2004,97897
12 Feb 2004,102504
13 Feb 2004,109063
14 Feb 2004,94801
15 Feb 2004,80870
16 Feb 2004,97986
17 Feb 2004,102483
18 Feb 2004,102183
19 Feb 2004,106061
20 Feb 2004,115648
21 Feb 2004,102771
22 Feb 2004,84360
23 Feb 2004,88331
24 Feb 2004,94749
25 Feb 2004,104769
26 Feb 2004,103626
27 Feb 2004,115352
28 Feb 2004,106147
29 Feb 2004,87204
01 Mar 2004,101010
02 Mar 2004,99848
03 Mar 2004,106266
04 Mar 2004,108204
05 Mar 2004,114861
06 Mar 2004,107211
07 Mar 2004,88627
08 Mar 2004,101613
09 Mar 2004,104557
10 Mar 2004,106943
11 Mar 2004,107516
12 Mar 2004,118280
13 Mar 2004,104538
14 Mar 2004,87602
15 Mar 2004,100617
16 Mar 2004,104013
17 Mar 2004,109856
18 Mar 2004,108294
19 Mar 2004,115030
20 Mar 2004,103035
21 Mar 2004,88306
22 Mar 2004,101895
23 Mar 2004,104498
24 Mar 2004,106992
25 Mar 2004,110311
26 Mar 2004,119509
27 Mar 2004,107610
28 Mar 2004,93377
29 Mar 2004,106440
30 Mar 2004,107497
31 Mar 2004,112579
01 Apr 2004,112039
02 Apr 2004,118536
03 Apr 2004,106769
04 Apr 2004,90149
05 Apr 2004,107382
06 Apr 2004,109815
07 Apr 2004,115853
08 Apr 2004,118665
09 Apr 2004,81981
10 Apr 2004,89445
11 Apr 2004,85947
12 Apr 2004,77578
13 Apr 2004,106787
14 Apr 2004,78507
15 Apr 2004,98904
16 Apr 2004,112033
17 Apr 2004,99020
18 Apr 2004,87171
19 Apr 2004,103383
20 Apr 2004,105724
21 Apr 2004,109132
22 Apr 2004,109921
23 Apr 2004,113525
24 Apr 2004,99976
25 Apr 2004,89964
26 Apr 2004,103502
27 Apr 2004,105079
28 Apr 2004,108907
29 Apr 2004,108459
30 Apr 2004,117628
01 May 2004,100073
02 May 2004,93067
03 May 2004,102423
04 May 2004,105466
05 May 2004,108400
06 May 2004,109673
07 May 2004,115044
08 May 2004,103755
09 May 2004,91948
10 May 2004,103312
11 May 2004,105942
12 May 2004,109693
13 May 2004,108975
14 May 2004,117470
15 May 2004,102822
16 May 2004,93955
17 May 2004,101511
18 May 2004,105379
19 May 2004,118356
20 May 2004,84766
21 May 2004,99979
22 May 2004,93063
23 May 2004,93867
24 May 2004,104688
25 May 2004,105479
26 May 2004,108257
27 May 2004,111329
28 May 2004,121513
29 May 2004,102222
30 May 2004,84476
31 May 2004,81597
01 Jun 2004,106469
02 Jun 2004,113571
03 Jun 2004,109995
04 Jun 2004,116871
05 Jun 2004,108218
06 Jun 2004,93682
07 Jun 2004,103733
08 Jun 2004,104821
09 Jun 2004,110010
10 Jun 2004,103267
11 Jun 2004,115401
12 Jun 2004,99566
13 Jun 2004,89032
14 Jun 2004,103685
15 Jun 2004,106686
16 Jun 2004,109912
17 Jun 2004,110514
18 Jun 2004,120484
19 Jun 2004,102527
20 Jun 2004,90057
21 Jun 2004,103136
22 Jun 2004,95408
23 Jun 2004,108925
24 Jun 2004,112258
25 Jun 2004,119767
26 Jun 2004,102811
27 Jun 2004,93380
28 Jun 2004,106979
29 Jun 2004,108257
30 Jun 2004,111202
01 Jul 2004,114077
02 Jul 2004,120623
03 Jul 2004,103581
04 Jul 2004,93136
05 Jul 2004,106387
06 Jul 2004,105236
07 Jul 2004,108627
08 Jul 2004,109238
09 Jul 2004,115837
10 Jul 2004,96114
11 Jul 2004,86720
12 Jul 2004,100565
13 Jul 2004,102154
14 Jul 2004,104933
15 Jul 2004,106651
16 Jul 2004,111294
17 Jul 2004,92630
18 Jul 2004,83477
19 Jul 2004,98319
20 Jul 2004,96499
21 Jul 2004,100800
22 Jul 2004,101011
23 Jul 2004,107933
24 Jul 2004,90920
25 Jul 2004,84247
26 Jul 2004,97542
27 Jul 2004,98893
28 Jul 2004,103401
29 Jul 2004,106127
30 Jul 2004,111487
31 Jul 2004,92582
01 Aug 2004,77964
02 Aug 2004,102841
03 Aug 2004,101146
04 Aug 2004,106045
05 Aug 2004,109784
06 Aug 2004,121901
07 Aug 2004,102211
08 Aug 2004,96986
09 Aug 2004,105725
10 Aug 2004,107870
11 Aug 2004,113653
12 Aug 2004,114267
13 Aug 2004,122277
14 Aug 2004,104698
15 Aug 2004,95419
16 Aug 2004,109242
17 Aug 2004,111144
18 Aug 2004,115260
19 Aug 2004,115954
20 Aug 2004,124403
21 Aug 2004,106952
22 Aug 2004,97599
23 Aug 2004,110270
24 Aug 2004,109962
25 Aug 2004,116264
26 Aug 2004,117794
27 Aug 2004,125895
28 Aug 2004,110708
29 Aug 2004,98450
30 Aug 2004,109557
31 Aug 2004,112652
01 Sep 2004,116694
02 Sep 2004,118102
03 Sep 2004,127753
04 Sep 2004,114241
05 Sep 2004,107292
06 Sep 2004,112399
07 Sep 2004,112754
08 Sep 2004,116836
09 Sep 2004,117459
10 Sep 2004,124446
11 Sep 2004,106424
12 Sep 2004,96428
13 Sep 2004,110455
14 Sep 2004,111297
15 Sep 2004,115429
16 Sep 2004,117379
17 Sep 2004,126060
18 Sep 2004,108396
19 Sep 2004,94600
20 Sep 2004,110453
21 Sep 2004,111235
22 Sep 2004,115786
23 Sep 2004,116325
24 Sep 2004,125499
25 Sep 2004,108943
26 Sep 2004,95014
27 Sep 2004,109457
28 Sep 2004,110607
29 Sep 2004,113489
30 Sep 2004,115233
01 Oct 2004,123690
02 Oct 2004,107136
03 Oct 2004,96202
04 Oct 2004,108771
05 Oct 2004,110697
06 Oct 2004,112265
07 Oct 2004,114622
08 Oct 2004,121097
09 Oct 2004,103108
10 Oct 2004,90222
11 Oct 2004,110364
12 Oct 2004,112331
13 Oct 2004,116902
14 Oct 2004,118468
15 Oct 2004,124538
16 Oct 2004,104944
17 Oct 2004,90597
18 Oct 2004,110163
19 Oct 2004,110928
20 Oct 2004,115333
21 Oct 2004,116896
22 Oct 2004,124059
23 Oct 2004,104903
24 Oct 2004,94564
25 Oct 2004,110952
26 Oct 2004,113071
27 Oct 2004,118935
28 Oct 2004,120356
29 Oct 2004,129619
30 Oct 2004,110459
31 Oct 2004,95837
01 Nov 2004,114727
02 Nov 2004,111004
03 Nov 2004,115475
04 Nov 2004,116164
05 Nov 2004,122436
06 Nov 2004,102051
07 Nov 2004,89408
08 Nov 2004,109257
09 Nov 2004,109222
10 Nov 2004,114327
11 Nov 2004,115775
12 Nov 2004,121941
13 Nov 2004,98781
14 Nov 2004,91683
15 Nov 2004,110950
16 Nov 2004,111251
17 Nov 2004,114939
18 Nov 2004,118060
19 Nov 2004,121682
20 Nov 2004,99110
21 Nov 2004,88473
22 Nov 2004,109773
23 Nov 2004,110716
24 Nov 2004,114749
25 Nov 2004,119085
26 Nov 2004,126006
27 Nov 2004,105812
28 Nov 2004,92743
29 Nov 2004,110123
30 Nov 2004,112114
01 Dec 2004,115702
02 Dec 2004,117914
03 Dec 2004,123787
04 Dec 2004,102930
05 Dec 2004,92930
06 Dec 2004,110077
07 Dec 2004,113405
08 Dec 2004,118597
09 Dec 2004,118173
10 Dec 2004,123042
11 Dec 2004,101572
12 Dec 2004,90986
13 Dec 2004,110925
14 Dec 2004,112880
15 Dec 2004,118018
16 Dec 2004,119937
17 Dec 2004,124286
18 Dec 2004,99785
19 Dec 2004,83675
20 Dec 2004,106888
21 Dec 2004,112024
22 Dec 2004,115584
23 Dec 2004,113159
24 Dec 2004,96327
25 Dec 2004,91214
26 Dec 2004,89976
27 Dec 2004,92187
28 Dec 2004,92113
29 Dec 2004,94076
30 Dec 2004,96067
31 Dec 2004,77596
01 Jan 2005,67960
02 Jan 2005,83327
03 Jan 2005,91821
04 Jan 2005,94312
05 Jan 2005,100961
06 Jan 2005,102582
07 Jan 2005,109537
08 Jan 2005,96266
09 Jan 2005,81751
10 Jan 2005,101816
11 Jan 2005,104401
12 Jan 2005,108275
13 Jan 2005,110258
14 Jan 2005,117427
15 Jan 2005,94823
16 Jan 2005,82146
17 Jan 2005,106252
18 Jan 2005,106606
19 Jan 2005,107055
20 Jan 2005,110016
21 Jan 2005,117858
22 Jan 2005,95417
23 Jan 2005,77919
24 Jan 2005,93752
25 Jan 2005,98867
26 Jan 2005,105962
27 Jan 2005,108724
28 Jan 2005,116543
29 Jan 2005,98505
30 Jan 2005,78339
31 Jan 2005,101919
01 Feb 2005,98135
02 Feb 2005,101917
03 Feb 2005,106061
04 Feb 2005,116148
05 Feb 2005,102001
06 Feb 2005,77231
07 Feb 2005,100356
08 Feb 2005,102958
09 Feb 2005,105418
10 Feb 2005,107589
11 Feb 2005,116802
12 Feb 2005,103630
13 Feb 2005,76094
14 Feb 2005,97551
15 Feb 2005,96739
16 Feb 2005,100696
17 Feb 2005,107179
18 Feb 2005,115357
19 Feb 2005,99149
20 Feb 2005,80211
21 Feb 2005,100679
22 Feb 2005,101775
23 Feb 2005,105425
24 Feb 2005,110215
25 Feb 2005,119054
26 Feb 2005,104493
27 Feb 2005,79274
28 Feb 2005,104728
01 Mar 2005,108108
02 Mar 2005,110717
03 Mar 2005,113472
04 Mar 2005,120868
05 Mar 2005,104436
06 Mar 2005,82377
07 Mar 2005,106022
08 Mar 2005,104966
09 Mar 2005,111765
10 Mar 2005,116027
11 Mar 2005,124189
12 Mar 2005,108370
13 Mar 2005,90511
14 Mar 2005,109599
15 Mar 2005,111848
16 Mar 2005,118230
17 Mar 2005,119382
18 Mar 2005,128255
19 Mar 2005,113087
20 Mar 2005,95270
21 Mar 2005,114051
22 Mar 2005,116986
23 Mar 2005,124493
24 Mar 2005,127354
25 Mar 2005,86171
26 Mar 2005,97296
27 Mar 2005,87922
28 Mar 2005,90481
29 Mar 2005,116328
30 Mar 2005,121326
31 Mar 2005,121118
01 Apr 2005,129009
02 Apr 2005,111132
03 Apr 2005,96227
04 Apr 2005,114573
05 Apr 2005,115811
06 Apr 2005,120461
07 Apr 2005,120288
08 Apr 2005,125310
09 Apr 2005,103944
10 Apr 2005,91469
11 Apr 2005,112007
12 Apr 2005,113554
13 Apr 2005,116409
14 Apr 2005,118531
15 Apr 2005,123488
16 Apr 2005,100044
17 Apr 2005,87253
18 Apr 2005,110889
19 Apr 2005,113771
20 Apr 2005,117451
21 Apr 2005,119250
22 Apr 2005,126197
23 Apr 2005,104666
24 Apr 2005,91595
25 Apr 2005,112708
26 Apr 2005,115921
27 Apr 2005,120044
28 Apr 2005,122071
29 Apr 2005,129401
30 Apr 2005,107166
01 May 2005,94934
02 May 2005,113264
03 May 2005,115493
04 May 2005,126497
05 May 2005,81910
06 May 2005,108995
07 May 2005,97762
08 May 2005,103213
09 May 2005,112913
10 May 2005,114948
11 May 2005,119588
12 May 2005,119355
13 May 2005,129633
14 May 2005,101264
15 May 2005,87722
16 May 2005,86177
17 May 2005,117634
18 May 2005,120835
19 May 2005,121769
20 May 2005,128446
21 May 2005,105411
22 May 2005,90105
23 May 2005,115380
24 May 2005,117490
25 May 2005,124565
26 May 2005,115479
27 May 2005,128042
28 May 2005,106940
29 May 2005,98251
30 May 2005,115084
31 May 2005,116572
01 Jun 2005,119382
02 Jun 2005,120566
03 Jun 2005,127596
04 Jun 2005,105138
05 Jun 2005,96391
06 Jun 2005,113115
07 Jun 2005,116348
08 Jun 2005,120433
09 Jun 2005,121204
10 Jun 2005,129282
11 Jun 2005,107096
12 Jun 2005,97622
13 Jun 2005,115042
14 Jun 2005,116187
15 Jun 2005,121635
16 Jun 2005,124340
17 Jun 2005,131031
18 Jun 2005,108944
19 Jun 2005,98758
20 Jun 2005,115087
21 Jun 2005,115261
22 Jun 2005,123895
23 Jun 2005,123366
24 Jun 2005,128982
25 Jun 2005,107271
26 Jun 2005,95851
27 Jun 2005,116698
28 Jun 2005,115929
29 Jun 2005,121116
30 Jun 2005,125353
01 Jul 2005,133250
02 Jul 2005,109585
03 Jul 2005,96375
04 Jul 2005,113769
05 Jul 2005,116471
06 Jul 2005,117421
07 Jul 2005,119848
08 Jul 2005,125162
09 Jul 2005,102040
10 Jul 2005,93008
11 Jul 2005,112064
12 Jul 2005,111813
13 Jul 2005,114745
14 Jul 2005,116090
15 Jul 2005,122300
16 Jul 2005,101013
17 Jul 2005,89492
18 Jul 2005,111071
19 Jul 2005,107705
20 Jul 2005,108943
21 Jul 2005,110562
22 Jul 2005,116944
23 Jul 2005,97075
24 Jul 2005,84374
25 Jul 2005,103595
26 Jul 2005,104704
27 Jul 2005,106882
28 Jul 2005,107520
29 Jul 2005,116673
30 Jul 2005,100699
31 Jul 2005,84502
01 Aug 2005,72614
02 Aug 2005,110359
03 Aug 2005,110603
04 Aug 2005,113722
05 Aug 2005,119009
06 Aug 2005,102012
07 Aug 2005,90521
08 Aug 2005,111027
09 Aug 2005,113565
10 Aug 2005,118494
11 Aug 2005,118515
12 Aug 2005,129253
13 Aug 2005,110948
14 Aug 2005,100364
15 Aug 2005,116032
16 Aug 2005,116287
17 Aug 2005,120706
18 Aug 2005,121582
19 Aug 2005,130141
20 Aug 2005,112162
21 Aug 2005,95294
22 Aug 2005,114273
23 Aug 2005,119640
24 Aug 2005,123666
25 Aug 2005,128274
26 Aug 2005,139840
27 Aug 2005,122379
28 Aug 2005,104101
29 Aug 2005,116825
30 Aug 2005,117562
31 Aug 2005,119893
01 Sep 2005,121723
02 Sep 2005,127877
03 Sep 2005,113551
04 Sep 2005,98545
05 Sep 2005,114681
06 Sep 2005,114318
07 Sep 2005,118455
08 Sep 2005,120824
09 Sep 2005,128273
10 Sep 2005,108605
11 Sep 2005,96555
12 Sep 2005,113244
13 Sep 2005,114575
14 Sep 2005,116712
15 Sep 2005,120260
16 Sep 2005,127790
17 Sep 2005,109287
18 Sep 2005,92052
19 Sep 2005,112624
20 Sep 2005,115000
21 Sep 2005,119110
22 Sep 2005,120223
23 Sep 2005,126570
24 Sep 2005,111370
25 Sep 2005,98189
26 Sep 2005,113779
27 Sep 2005,115827
28 Sep 2005,122445
29 Sep 2005,121893
30 Sep 2005,131419
01 Oct 2005,111808
02 Oct 2005,93627
03 Oct 2005,113190
04 Oct 2005,111446
05 Oct 2005,113284
06 Oct 2005,115066
07 Oct 2005,121956
08 Oct 2005,103183
09 Oct 2005,94668
10 Oct 2005,110714
11 Oct 2005,112019
12 Oct 2005,113990
13 Oct 2005,116613
14 Oct 2005,121966
15 Oct 2005,104734
16 Oct 2005,93587
17 Oct 2005,112944
18 Oct 2005,114643
19 Oct 2005,118033
20 Oct 2005,121717
21 Oct 2005,127012
22 Oct 2005,103776
23 Oct 2005,89657
24 Oct 2005,113247
25 Oct 2005,116713
26 Oct 2005,121010
27 Oct 2005,123814
28 Oct 2005,132332
29 Oct 2005,112413
30 Oct 2005,97626
31 Oct 2005,116393
01 Nov 2005,117629
02 Nov 2005,117854
03 Nov 2005,122053
04 Nov 2005,126866
05 Nov 2005,107386
06 Nov 2005,98226
07 Nov 2005,113398
08 Nov 2005,113682
09 Nov 2005,116443
10 Nov 2005,119386
11 Nov 2005,126650
12 Nov 2005,104646
13 Nov 2005,94424
14 Nov 2005,112165
15 Nov 2005,114296
16 Nov 2005,114690
