date,time,demand
1-Mar-05,6:30,1
1-Mar-05,6:45,2
1-Mar-05,7:00,4
1-Mar-05,7:15,0
1-Mar-05,7:30,10
1-Mar-05,7:45,13
1-Mar-05,8:00,18
1-Mar-05,8:15,19
1-Mar-05,8:30,23
1-Mar-05,8:45,13
1-Mar-05_duplicated_0,9:00,14
1-Mar-05,9:15,14
1-Mar-05_duplicated_0,9:30,28
1-Mar-05,9:45,20
1-Mar-05,10:00,17
1-Mar-05,10:15,27
1-Mar-05,10:30,15
1-Mar-05,10:45,31
1-Mar-05,11:00,29
1-Mar-05,11:15,25
1-Mar-05,11:30,33
1-Mar-05,11:45,40
1-Mar-05,12:00,36
1-Mar-05,12:15,49
1-Mar-05,12:30,43
1-Mar-05,12:45,47
1-Mar-05,13:00,43
1-Mar-05_duplicated_0,13:15,51
1-Mar-05,13:30,38
1-Mar-05,13:45,34
1-Mar-05,14:00,47
1-Mar-05_duplicated_0,14:15,45
1-Mar-05,14:30,35
1-Mar-05,14:45,34
1-Mar-05_duplicated_0,15:00,31
1-Mar-05_duplicated_0,15:15,37
1-Mar-05,15:30,32
1-Mar-05,15:45,32
1-Mar-05_duplicated_0,16:00,45
1-Mar-05_duplicated_0,16:15,28
1-Mar-05_duplicated_0,16:30,40
1-Mar-05_duplicated_0,16:45,27
1-Mar-05_duplicated_0,17:00,41
1-Mar-05,17:15,44
1-Mar-05,17:30,50
1-Mar-05,17:45,44
1-Mar-05_duplicated_0,18:00,50
1-Mar-05_duplicated_0,18:15,62
1-Mar-05,18:30,62
1-Mar-05_duplicated_0,18:45,69
1-Mar-05,19:00,98
1-Mar-05,19:15,82
1-Mar-05,19:30,66
1-Mar-05,19:45,60
1-Mar-05,20:00,79
1-Mar-05,20:15,60
1-Mar-05_duplicated_0,20:30,46
1-Mar-05,20:45,36
1-Mar-05_duplicated_0,21:00,27
1-Mar-05_duplicated_1,21:15,26
1-Mar-05,21:30,24
1-Mar-05,21:45,12
1-Mar-05,22:00,8
2-Mar-05,6:30_duplicated_0,4
2-Mar-05,6:45_duplicated_0,3
2-Mar-05,7:00_duplicated_0,2
2-Mar-05,7:15_duplicated_0,3
2-Mar-05_duplicated_0,7:30_duplicated_0,10
2-Mar-05,7:45_duplicated_0,13
2-Mar-05,8:00_duplicated_0,9
2-Mar-05,8:15_duplicated_0,16
2-Mar-05,8:30_duplicated_0,21
2-Mar-05,8:45_duplicated_0,20
2-Mar-05,9:00_duplicated_0,12
2-Mar-05,9:15_duplicated_0,19
2-Mar-05,9:30_duplicated_0,26
2-Mar-05,9:45_duplicated_0,18
2-Mar-05,10:00_duplicated_0,15
2-Mar-05,10:15_duplicated_0,18
2-Mar-05_duplicated_0,10:30_duplicated_0,33
2-Mar-05,10:45_duplicated_0,38
2-Mar-05,11:00_duplicated_0,32
2-Mar-05,11:15_duplicated_0,32
2-Mar-05_duplicated_0,11:30_duplicated_0,28
2-Mar-05,11:45_duplicated_0,24
2-Mar-05,12:00_duplicated_0,41
2-Mar-05,12:15_duplicated_0,35
2-Mar-05,12:30_duplicated_0,43
2-Mar-05,12:45_duplicated_0,41
2-Mar-05_duplicated_0,13:00_duplicated_0,40
2-Mar-05,13:15_duplicated_0,41
2-Mar-05_duplicated_1,13:30_duplicated_0,44
2-Mar-05,13:45_duplicated_0,50
2-Mar-05,14:00_duplicated_0,48
2-Mar-05,14:15_duplicated_0,56
2-Mar-05,14:30_duplicated_0,42
2-Mar-05,14:45_duplicated_0,36
2-Mar-05,15:00_duplicated_0,33
2-Mar-05_duplicated_0,15:15_duplicated_0,25
2-Mar-05,15:30_duplicated_0,30
2-Mar-05,15:45_duplicated_0,31
2-Mar-05,16:00_duplicated_0,30
2-Mar-05_duplicated_0,16:15_duplicated_0,20
2-Mar-05_duplicated_0,16:30_duplicated_0,33
2-Mar-05_duplicated_1,16:45_duplicated_0,27
2-Mar-05,17:00_duplicated_0,33
2-Mar-05_duplicated_2,17:15_duplicated_0,39
2-Mar-05,17:30_duplicated_0,42
2-Mar-05_duplicated_0,17:45_duplicated_0,50
2-Mar-05_duplicated_0,18:00_duplicated_0,54
2-Mar-05,18:15_duplicated_0,76
2-Mar-05,18:30_duplicated_0,84
2-Mar-05,18:45_duplicated_0,79
2-Mar-05,19:00_duplicated_0,75
2-Mar-05,19:15_duplicated_0,75
2-Mar-05_duplicated_0,19:30_duplicated_0,65
2-Mar-05,19:45_duplicated_0,71
2-Mar-05,20:00_duplicated_0,46
2-Mar-05,20:15_duplicated_0,43
2-Mar-05_duplicated_0,20:30_duplicated_0,41
2-Mar-05_duplicated_2,20:45_duplicated_0,30
2-Mar-05_duplicated_1,21:00_duplicated_0,31
2-Mar-05_duplicated_0,21:15_duplicated_0,31
2-Mar-05_duplicated_1,21:30_duplicated_0,29
2-Mar-05,21:45_duplicated_0,12
2-Mar-05_duplicated_0,22:00_duplicated_0,9
3-Mar-05,6:30_duplicated_1,2
3-Mar-05,6:45_duplicated_1,2
3-Mar-05_duplicated_0,7:00_duplicated_1,7
3-Mar-05,7:15_duplicated_1,4
3-Mar-05,7:30_duplicated_1,11
3-Mar-05,7:45_duplicated_1,6
3-Mar-05,8:00_duplicated_1,17
3-Mar-05,8:15_duplicated_1,15
3-Mar-05,8:30_duplicated_1,24
3-Mar-05,8:45_duplicated_1,11
3-Mar-05_duplicated_0,9:00_duplicated_1,15
3-Mar-05_duplicated_0,9:15_duplicated_1,18
3-Mar-05,9:30_duplicated_1,20
3-Mar-05,9:45_duplicated_1,19
3-Mar-05,10:00_duplicated_1,26
3-Mar-05,10:15_duplicated_1,25
3-Mar-05,10:30_duplicated_1,33
3-Mar-05,10:45_duplicated_1,18
3-Mar-05_duplicated_0,11:00_duplicated_1,23
3-Mar-05,11:15_duplicated_1,33
3-Mar-05_duplicated_0,11:30_duplicated_1,35
3-Mar-05,11:45_duplicated_1,39
3-Mar-05,12:00_duplicated_1,45
3-Mar-05,12:15_duplicated_1,36
3-Mar-05,12:30_duplicated_1,37
3-Mar-05,12:45_duplicated_1,49
3-Mar-05,13:00_duplicated_1,48
3-Mar-05,13:15_duplicated_1,45
3-Mar-05_duplicated_0,13:30_duplicated_1,45
3-Mar-05_duplicated_1,13:45_duplicated_1,48
3-Mar-05_duplicated_0,14:00_duplicated_1,54
3-Mar-05,14:15_duplicated_1,35
3-Mar-05_duplicated_0,14:30_duplicated_1,27
3-Mar-05,14:45_duplicated_1,30
3-Mar-05,15:00_duplicated_1,26
3-Mar-05_duplicated_0,15:15_duplicated_1,30
3-Mar-05_duplicated_0,15:30_duplicated_1,30
3-Mar-05_duplicated_1,15:45_duplicated_1,24
3-Mar-05_duplicated_0,16:00_duplicated_1,22
3-Mar-05,16:15_duplicated_1,19
3-Mar-05_duplicated_0,16:30_duplicated_1,27
3-Mar-05_duplicated_0,16:45_duplicated_1,24
3-Mar-05_duplicated_1,17:00_duplicated_1,33
3-Mar-05_duplicated_1,17:15_duplicated_1,39
3-Mar-05_duplicated_0,17:30_duplicated_1,30
3-Mar-05_duplicated_2,17:45_duplicated_1,48
3-Mar-05_duplicated_1,18:00_duplicated_1,45
3-Mar-05_duplicated_2,18:15_duplicated_1,77
3-Mar-05,18:30_duplicated_1,87
3-Mar-05,18:45_duplicated_1,87
3-Mar-05_duplicated_0,19:00_duplicated_1,61
3-Mar-05,19:15_duplicated_1,69
3-Mar-05,19:30_duplicated_1,81
3-Mar-05,19:45_duplicated_1,68
3-Mar-05,20:00_duplicated_1,54
3-Mar-05_duplicated_0,20:15_duplicated_1,38
3-Mar-05,20:30_duplicated_1,39
3-Mar-05_duplicated_1,20:45_duplicated_1,35
3-Mar-05_duplicated_1,21:00_duplicated_1,21
3-Mar-05,21:15_duplicated_1,28
3-Mar-05,21:30_duplicated_1,15
3-Mar-05_duplicated_1,21:45_duplicated_1,11
3-Mar-05_duplicated_1,22:00_duplicated_1,3
4-Mar-05,6:30_duplicated_2,2
4-Mar-05,6:45_duplicated_2,1
4-Mar-05,7:00_duplicated_2,3
4-Mar-05_duplicated_0,7:15_duplicated_2,5
4-Mar-05,7:30_duplicated_2,9
4-Mar-05,7:45_duplicated_2,7
4-Mar-05,8:00_duplicated_2,14
4-Mar-05,8:15_duplicated_2,8
4-Mar-05,8:30_duplicated_2,5
4-Mar-05_duplicated_0,8:45_duplicated_2,10
4-Mar-05,9:00_duplicated_2,12
4-Mar-05,9:15_duplicated_2,22
4-Mar-05,9:30_duplicated_2,15
4-Mar-05,9:45_duplicated_2,24
4-Mar-05,10:00_duplicated_2,16
4-Mar-05,10:15_duplicated_2,28
4-Mar-05,10:30_duplicated_2,20
4-Mar-05,10:45_duplicated_2,22
4-Mar-05_duplicated_0,11:00_duplicated_2,33
4-Mar-05,11:15_duplicated_2,32
4-Mar-05,11:30_duplicated_2,26
4-Mar-05,11:45_duplicated_2,33
4-Mar-05_duplicated_0,12:00_duplicated_2,34
4-Mar-05,12:15_duplicated_2,47
4-Mar-05,12:30_duplicated_2,35
4-Mar-05,12:45_duplicated_2,39
4-Mar-05,13:00_duplicated_2,37
4-Mar-05,13:15_duplicated_2,43
4-Mar-05,13:30_duplicated_2,50
4-Mar-05,13:45_duplicated_2,53
4-Mar-05,14:00_duplicated_2,45
4-Mar-05,14:15_duplicated_2,37
4-Mar-05_duplicated_0,14:30_duplicated_2,47
4-Mar-05_duplicated_0,14:45_duplicated_2,39
4-Mar-05_duplicated_0,15:00_duplicated_2,34
4-Mar-05_duplicated_0,15:15_duplicated_2,39
4-Mar-05_duplicated_1,15:30_duplicated_2,39
4-Mar-05_duplicated_2,15:45_duplicated_2,32
4-Mar-05_duplicated_0,16:00_duplicated_2,24
4-Mar-05_duplicated_0,16:15_duplicated_2,39
4-Mar-05_duplicated_3,16:30_duplicated_2,36
4-Mar-05,16:45_duplicated_2,41
4-Mar-05,17:00_duplicated_2,51
4-Mar-05,17:15_duplicated_2,57
4-Mar-05,17:30_duplicated_2,67
4-Mar-05,17:45_duplicated_2,49
4-Mar-05,18:00_duplicated_2,62
4-Mar-05,18:15_duplicated_2,51
4-Mar-05_duplicated_0,18:30_duplicated_2,50
4-Mar-05_duplicated_0,18:45_duplicated_2,57
4-Mar-05_duplicated_0,19:00_duplicated_2,54
4-Mar-05,19:15_duplicated_2,58
4-Mar-05,19:30_duplicated_2,47
4-Mar-05_duplicated_1,19:45_duplicated_2,38
4-Mar-05,20:00_duplicated_2,45
4-Mar-05_duplicated_0,20:15_duplicated_2,31
4-Mar-05,20:30_duplicated_2,41
4-Mar-05_duplicated_0,20:45_duplicated_2,30
4-Mar-05,21:00_duplicated_2,28
4-Mar-05_duplicated_0,21:15_duplicated_2,26
4-Mar-05_duplicated_0,21:30_duplicated_2,16
4-Mar-05_duplicated_0,21:45_duplicated_2,13
4-Mar-05,22:00_duplicated_2,5
5-Mar-05,6:30_duplicated_3,0
5-Mar-05,6:45_duplicated_3,1
5-Mar-05,7:00_duplicated_3,1
5-Mar-05_duplicated_0,7:15_duplicated_3,1
5-Mar-05_duplicated_1,7:30_duplicated_3,2
5-Mar-05,7:45_duplicated_3,1
5-Mar-05_duplicated_2,8:00_duplicated_3,4
5-Mar-05,8:15_duplicated_3,0
5-Mar-05_duplicated_0,8:30_duplicated_3,5
5-Mar-05_duplicated_0,8:45_duplicated_3,1
5-Mar-05_duplicated_3,9:00_duplicated_3,3
5-Mar-05,9:15_duplicated_3,2
5-Mar-05_duplicated_0,9:30_duplicated_3,3
5-Mar-05_duplicated_0,9:45_duplicated_3,2
5-Mar-05_duplicated_1,10:00_duplicated_3,5
5-Mar-05_duplicated_1,10:15_duplicated_3,3
5-Mar-05_duplicated_1,10:30_duplicated_3,3
5-Mar-05_duplicated_2,10:45_duplicated_3,6
5-Mar-05,11:00_duplicated_3,2
5-Mar-05_duplicated_2,11:15_duplicated_3,3
5-Mar-05_duplicated_3,11:30_duplicated_3,6
5-Mar-05_duplicated_0,11:45_duplicated_3,10
5-Mar-05,12:00_duplicated_3,8
5-Mar-05,12:15_duplicated_3,4
5-Mar-05_duplicated_0,12:30_duplicated_3,6
5-Mar-05_duplicated_1,12:45_duplicated_3,9
5-Mar-05,13:00_duplicated_3,9
5-Mar-05_duplicated_0,13:15_duplicated_3,14
5-Mar-05,13:30_duplicated_3,14
5-Mar-05_duplicated_0,13:45_duplicated_3,10
5-Mar-05_duplicated_0,14:00_duplicated_3,12
5-Mar-05,14:15_duplicated_3,5
5-Mar-05_duplicated_2,14:30_duplicated_3,9
5-Mar-05_duplicated_1,14:45_duplicated_3,8
5-Mar-05_duplicated_0,15:00_duplicated_3,11
5-Mar-05,15:15_duplicated_3,5
5-Mar-05_duplicated_3,15:30_duplicated_3,7
5-Mar-05,15:45_duplicated_3,3
5-Mar-05_duplicated_4,16:00_duplicated_3,7
5-Mar-05_duplicated_0,16:15_duplicated_3,6
5-Mar-05_duplicated_2,16:30_duplicated_3,2
5-Mar-05_duplicated_3,16:45_duplicated_3,2
5-Mar-05_duplicated_4,17:00_duplicated_3,1
5-Mar-05_duplicated_4,17:15_duplicated_3,3
5-Mar-05_duplicated_5,17:30_duplicated_3,2
5-Mar-05_duplicated_5,17:45_duplicated_3,9
5-Mar-05_duplicated_2,18:00_duplicated_3,4
5-Mar-05_duplicated_1,18:15_duplicated_3,1
5-Mar-05_duplicated_5,18:30_duplicated_3,3
5-Mar-05_duplicated_6,18:45_duplicated_3,2
5-Mar-05_duplicated_6,19:00_duplicated_3,3
5-Mar-05_duplicated_7,19:15_duplicated_3,2
5-Mar-05_duplicated_7,19:30_duplicated_3,3
5-Mar-05_duplicated_8,19:45_duplicated_3,2
5-Mar-05_duplicated_8,20:00_duplicated_3,3
5-Mar-05_duplicated_9,20:15_duplicated_3,0
5-Mar-05_duplicated_1,20:30_duplicated_3,1
5-Mar-05_duplicated_6,20:45_duplicated_3,2
5-Mar-05_duplicated_9,21:00_duplicated_3,4
5-Mar-05_duplicated_2,21:15_duplicated_3,0
5-Mar-05_duplicated_2,21:30_duplicated_3,4
5-Mar-05_duplicated_3,21:45_duplicated_3,0
5-Mar-05_duplicated_3,22:00_duplicated_3,0
6-Mar-05,6:30_duplicated_4,0
6-Mar-05_duplicated_0,6:45_duplicated_4,0
6-Mar-05_duplicated_1,7:00_duplicated_4,0
6-Mar-05_duplicated_2,7:15_duplicated_4,0
6-Mar-05_duplicated_3,7:30_duplicated_4,0
6-Mar-05_duplicated_4,7:45_duplicated_4,0
6-Mar-05_duplicated_5,8:00_duplicated_4,0
6-Mar-05_duplicated_6,8:15_duplicated_4,0
6-Mar-05_duplicated_7,8:30_duplicated_4,0
6-Mar-05_duplicated_8,8:45_duplicated_4,0
6-Mar-05_duplicated_9,9:00_duplicated_4,0
6-Mar-05_duplicated_10,9:15_duplicated_4,0
6-Mar-05_duplicated_11,9:30_duplicated_4,0
6-Mar-05_duplicated_12,9:45_duplicated_4,2
6-Mar-05,10:00_duplicated_4,0
6-Mar-05_duplicated_13,10:15_duplicated_4,1
6-Mar-05,10:30_duplicated_4,1
6-Mar-05_duplicated_0,10:45_duplicated_4,0
6-Mar-05_duplicated_14,11:00_duplicated_4,0
6-Mar-05_duplicated_15,11:15_duplicated_4,0
6-Mar-05_duplicated_16,11:30_duplicated_4,0
6-Mar-05_duplicated_17,11:45_duplicated_4,5
6-Mar-05,12:00_duplicated_4,1
6-Mar-05_duplicated_1,12:15_duplicated_4,1
6-Mar-05_duplicated_2,12:30_duplicated_4,1
6-Mar-05_duplicated_3,12:45_duplicated_4,2
6-Mar-05_duplicated_0,13:00_duplicated_4,1
6-Mar-05_duplicated_4,13:15_duplicated_4,1
6-Mar-05_duplicated_5,13:30_duplicated_4,0
6-Mar-05_duplicated_18,13:45_duplicated_4,3
6-Mar-05,14:00_duplicated_4,1
6-Mar-05_duplicated_6,14:15_duplicated_4,1
6-Mar-05_duplicated_7,14:30_duplicated_4,1
6-Mar-05_duplicated_8,14:45_duplicated_4,1
6-Mar-05_duplicated_9,15:00_duplicated_4,4
6-Mar-05,15:15_duplicated_4,0
6-Mar-05_duplicated_19,15:30_duplicated_4,2
6-Mar-05_duplicated_1,15:45_duplicated_4,2
6-Mar-05_duplicated_2,16:00_duplicated_4,2
6-Mar-05_duplicated_3,16:15_duplicated_4,2
6-Mar-05_duplicated_4,16:30_duplicated_4,4
6-Mar-05_duplicated_0,16:45_duplicated_4,0
6-Mar-05_duplicated_20,17:00_duplicated_4,0
6-Mar-05_duplicated_21,17:15_duplicated_4,1
6-Mar-05_duplicated_10,17:30_duplicated_4,1
6-Mar-05_duplicated_11,17:45_duplicated_4,1
6-Mar-05_duplicated_12,18:00_duplicated_4,2
6-Mar-05_duplicated_5,18:15_duplicated_4,0
6-Mar-05_duplicated_22,18:30_duplicated_4,5
6-Mar-05_duplicated_0,18:45_duplicated_4,2
6-Mar-05_duplicated_6,19:00_duplicated_4,3
6-Mar-05_duplicated_0,19:15_duplicated_4,3
6-Mar-05_duplicated_1,19:30_duplicated_4,4
6-Mar-05_duplicated_1,19:45_duplicated_4,1
6-Mar-05_duplicated_13,20:00_duplicated_4,3
6-Mar-05_duplicated_2,20:15_duplicated_4,4
6-Mar-05_duplicated_2,20:30_duplicated_4,0
6-Mar-05_duplicated_23,20:45_duplicated_4,0
6-Mar-05_duplicated_24,21:00_duplicated_4,0
6-Mar-05_duplicated_25,21:15_duplicated_4,4
6-Mar-05_duplicated_3,21:30_duplicated_4,1
6-Mar-05_duplicated_14,21:45_duplicated_4,0
6-Mar-05_duplicated_26,22:00_duplicated_4,0
7-Mar-05,6:30_duplicated_5,4
7-Mar-05,6:45_duplicated_5,2
7-Mar-05,7:00_duplicated_5,3
7-Mar-05,7:15_duplicated_5,7
7-Mar-05,7:30_duplicated_5,12
7-Mar-05,7:45_duplicated_5,18
7-Mar-05,8:00_duplicated_5,25
7-Mar-05,8:15_duplicated_5,16
7-Mar-05,8:30_duplicated_5,17
7-Mar-05,8:45_duplicated_5,18
7-Mar-05_duplicated_0,9:00_duplicated_5,20
7-Mar-05,9:15_duplicated_5,17
7-Mar-05_duplicated_0,9:30_duplicated_5,14
7-Mar-05,9:45_duplicated_5,16
7-Mar-05_duplicated_0,10:00_duplicated_5,19
7-Mar-05,10:15_duplicated_5,20
7-Mar-05_duplicated_0,10:30_duplicated_5,24
7-Mar-05,10:45_duplicated_5,37
7-Mar-05,11:00_duplicated_5,32
7-Mar-05,11:15_duplicated_5,37
7-Mar-05_duplicated_0,11:30_duplicated_5,31
7-Mar-05,11:45_duplicated_5,37
7-Mar-05_duplicated_1,12:00_duplicated_5,31
7-Mar-05_duplicated_0,12:15_duplicated_5,41
7-Mar-05,12:30_duplicated_5,46
7-Mar-05,12:45_duplicated_5,45
7-Mar-05,13:00_duplicated_5,54
7-Mar-05,13:15_duplicated_5,53
7-Mar-05,13:30_duplicated_5,75
7-Mar-05,13:45_duplicated_5,54
7-Mar-05_duplicated_0,14:00_duplicated_5,50
7-Mar-05,14:15_duplicated_5,70
7-Mar-05,14:30_duplicated_5,43
7-Mar-05,14:45_duplicated_5,35
7-Mar-05,15:00_duplicated_5,31
7-Mar-05_duplicated_1,15:15_duplicated_5,33
7-Mar-05,15:30_duplicated_5,45
7-Mar-05_duplicated_0,15:45_duplicated_5,32
7-Mar-05_duplicated_0,16:00_duplicated_5,37
7-Mar-05_duplicated_2,16:15_duplicated_5,44
7-Mar-05,16:30_duplicated_5,35
7-Mar-05_duplicated_0,16:45_duplicated_5,41
7-Mar-05_duplicated_0,17:00_duplicated_5,38
7-Mar-05,17:15_duplicated_5,52
7-Mar-05,17:30_duplicated_5,48
7-Mar-05,17:45_duplicated_5,59
7-Mar-05,18:00_duplicated_5,66
7-Mar-05,18:15_duplicated_5,100
7-Mar-05,18:30_duplicated_5,115
7-Mar-05,18:45_duplicated_5,136
7-Mar-05,19:00_duplicated_5,100
7-Mar-05_duplicated_0,19:15_duplicated_5,90
7-Mar-05,19:30_duplicated_5,71
7-Mar-05,19:45_duplicated_5,70
7-Mar-05_duplicated_0,20:00_duplicated_5,69
7-Mar-05,20:15_duplicated_5,55
7-Mar-05,20:30_duplicated_5,50
7-Mar-05_duplicated_0,20:45_duplicated_5,42
7-Mar-05,21:00_duplicated_5,20
7-Mar-05_duplicated_1,21:15_duplicated_5,22
7-Mar-05,21:30_duplicated_5,18
7-Mar-05_duplicated_1,21:45_duplicated_5,14
7-Mar-05_duplicated_0,22:00_duplicated_5,7
8-Mar-05,6:30_duplicated_6,5
8-Mar-05,6:45_duplicated_6,3
8-Mar-05,7:00_duplicated_6,1
8-Mar-05,7:15_duplicated_6,8
8-Mar-05,7:30_duplicated_6,6
8-Mar-05,7:45_duplicated_6,11
8-Mar-05,8:00_duplicated_6,18
8-Mar-05,8:15_duplicated_6,6
8-Mar-05_duplicated_0,8:30_duplicated_6,12
8-Mar-05,8:45_duplicated_6,20
8-Mar-05,9:00_duplicated_6,20
8-Mar-05_duplicated_0,9:15_duplicated_6,27
8-Mar-05,9:30_duplicated_6,22
8-Mar-05,9:45_duplicated_6,22
8-Mar-05_duplicated_0,10:00_duplicated_6,32
8-Mar-05,10:15_duplicated_6,26
8-Mar-05,10:30_duplicated_6,18
8-Mar-05_duplicated_0,10:45_duplicated_6,23
8-Mar-05,11:00_duplicated_6,29
8-Mar-05,11:15_duplicated_6,41
8-Mar-05,11:30_duplicated_6,31
8-Mar-05,11:45_duplicated_6,43
8-Mar-05,12:00_duplicated_6,45
8-Mar-05,12:15_duplicated_6,52
8-Mar-05,12:30_duplicated_6,42
8-Mar-05,12:45_duplicated_6,48
8-Mar-05,13:00_duplicated_6,45
8-Mar-05_duplicated_0,13:15_duplicated_6,65
8-Mar-05,13:30_duplicated_6,51
8-Mar-05,13:45_duplicated_6,48
8-Mar-05_duplicated_0,14:00_duplicated_6,43
8-Mar-05_duplicated_0,14:15_duplicated_6,36
8-Mar-05,14:30_duplicated_6,32
8-Mar-05_duplicated_0,14:45_duplicated_6,40
8-Mar-05,15:00_duplicated_6,36
8-Mar-05_duplicated_0,15:15_duplicated_6,45
8-Mar-05_duplicated_1,15:30_duplicated_6,32
8-Mar-05_duplicated_1,15:45_duplicated_6,30
8-Mar-05,16:00_duplicated_6,42
8-Mar-05_duplicated_0,16:15_duplicated_6,24
8-Mar-05,16:30_duplicated_6,35
8-Mar-05,16:45_duplicated_6,25
8-Mar-05,17:00_duplicated_6,39
8-Mar-05,17:15_duplicated_6,35
8-Mar-05_duplicated_0,17:30_duplicated_6,41
8-Mar-05_duplicated_0,17:45_duplicated_6,53
8-Mar-05,18:00_duplicated_6,63
8-Mar-05,18:15_duplicated_6,89
8-Mar-05,18:30_duplicated_6,98
8-Mar-05,18:45_duplicated_6,91
8-Mar-05,19:00_duplicated_6,77
8-Mar-05,19:15_duplicated_6,80
8-Mar-05,19:30_duplicated_6,64
8-Mar-05,19:45_duplicated_6,67
8-Mar-05,20:00_duplicated_6,40
8-Mar-05_duplicated_0,20:15_duplicated_6,55
8-Mar-05,20:30_duplicated_6,48
8-Mar-05_duplicated_1,20:45_duplicated_6,33
8-Mar-05,21:00_duplicated_6,31
8-Mar-05_duplicated_0,21:15_duplicated_6,27
8-Mar-05_duplicated_0,21:30_duplicated_6,19
8-Mar-05,21:45_duplicated_6,15
8-Mar-05,22:00_duplicated_6,4
9-Mar-05,6:30_duplicated_7,1
9-Mar-05,6:45_duplicated_7,1
9-Mar-05_duplicated_0,7:00_duplicated_7,2
9-Mar-05,7:15_duplicated_7,4
9-Mar-05_duplicated_0,7:30_duplicated_7,12
9-Mar-05,7:45_duplicated_7,15
9-Mar-05,8:00_duplicated_7,11
9-Mar-05,8:15_duplicated_7,20
9-Mar-05,8:30_duplicated_7,15
9-Mar-05_duplicated_0,8:45_duplicated_7,15
9-Mar-05_duplicated_1,9:00_duplicated_7,17
9-Mar-05,9:15_duplicated_7,21
9-Mar-05,9:30_duplicated_7,14
9-Mar-05,9:45_duplicated_7,14
9-Mar-05_duplicated_0,10:00_duplicated_7,20
9-Mar-05_duplicated_0,10:15_duplicated_7,20
9-Mar-05_duplicated_1,10:30_duplicated_7,29
9-Mar-05,10:45_duplicated_7,22
9-Mar-05,11:00_duplicated_7,29
9-Mar-05_duplicated_0,11:15_duplicated_7,19
9-Mar-05,11:30_duplicated_7,30
9-Mar-05,11:45_duplicated_7,24
9-Mar-05,12:00_duplicated_7,42
9-Mar-05,12:15_duplicated_7,37
9-Mar-05,12:30_duplicated_7,31
9-Mar-05,12:45_duplicated_7,48
9-Mar-05,13:00_duplicated_7,44
9-Mar-05,13:15_duplicated_7,37
9-Mar-05_duplicated_0,13:30_duplicated_7,38
9-Mar-05,13:45_duplicated_7,56
9-Mar-05,14:00_duplicated_7,42
9-Mar-05_duplicated_0,14:15_duplicated_7,50
9-Mar-05,14:30_duplicated_7,45
9-Mar-05,14:45_duplicated_7,32
9-Mar-05,15:00_duplicated_7,50
9-Mar-05_duplicated_0,15:15_duplicated_7,36
9-Mar-05,15:30_duplicated_7,39
9-Mar-05,15:45_duplicated_7,26
9-Mar-05,16:00_duplicated_7,22
9-Mar-05_duplicated_0,16:15_duplicated_7,31
9-Mar-05_duplicated_0,16:30_duplicated_7,34
9-Mar-05,16:45_duplicated_7,25
9-Mar-05,17:00_duplicated_7,34
9-Mar-05_duplicated_0,17:15_duplicated_7,35
